0,PLAYER_MODE_NULL,Пустой режим
1,PLAYER_MODE_CONTROL_CREATURE,Управление существом
2,PLAYER_MODE_Z_TARGET,Наведение на цель
3,PLAYER_MODE_DEAD,Смерть
4,PLAYER_MODE_NAVIGATE_INVENTORY,Инвентарь
5,PLAYER_MODE_NAVIGATE_INVENTORY_CLOTHING,Инвентарь: Одежда
6,PLAYER_MODE_NAVIGATE_INVENTORY_WEAPONS,Инвентарь: Оружие
7,PLAYER_MODE_NAVIGATE_INVENTORY_ABILITIES_SCREEN,Инвентарь: Способности
8,PLAYER_MODE_NAVIGATE_INVENTORY_MAP_SCREEN,Инвентарь: Карта
9,PLAYER_MODE_NAVIGATE_INVENTORY_MAGIC_SCREEN,Инвентарь: Магия
10,PLAYER_MODE_NAVIGATE_INVENTORY_STATS_SCREEN,Инвентарь: Характеристики
11,PLAYER_MODE_NAVIGATE_INVENTORY_EXPERIENCE_SCREEN,Инвентарь: Опыт
12,PLAYER_MODE_NAVIGATE_INVENTORY_TRADE_SCREEN,Инвентарь: Торговля
13,PLAYER_MODE_NAVIGATE_INVENTORY_QUESTS_SCREEN,Инвентарь: Задания
14,PLAYER_MODE_CLICK_PAST_TEXT,Ввод текста
15,PLAYER_MODE_YES_NO_QUESTION,Выбор Да/Нет
16,PLAYER_MODE_FIRST_PERSON,Вид от первого лица
17,PLAYER_MODE_FREEZE_CONTROLS,Управление заблокировано
18,PLAYER_MODE_SPECIAL_ABILITY_FREEZE_CONTROLS,Блокировка управления (особая способность)
19,PLAYER_MODE_CONTROL_CAMERA,Управление камерой
20,PLAYER_MODE_LOOK_THROUGH_WINDOW,Взгляд в окно
21,PLAYER_MODE_REBOOT_GAME,Перезагрузка игры
22,PLAYER_MODE_FIRST_PERSON_TARGETING,Прицеливание от первого лица
23,PLAYER_MODE_NAVIGATE_IN_GAME_MENU,Внутриигровое меню
24,PLAYER_MODE_CONTROL_SPIRIT,Управление духом
25,PLAYER_MODE_USE_PROJECTILE_WEAPON,Метательное оружие
26,PLAYER_MODE_TAVERN_GAME,Игра в таверне
27,PLAYER_MODE_CUT_SCENE,Кат-сцена
28,PLAYER_MODE_CHARGE_QUICK_ACCESS,Зарядка быстрого доступа
29,PLAYER_MODE_FISHING,Рыбалка
30,PLAYER_MODE_DIGGING,Копание
31,PLAYER_MODE_PARALYSED,Парализованный
32,PLAYER_MODE_BOAST_UI,Интерфейс хвастовства
33,PLAYER_MODE_BERSERK,Берсерк
34,PLAYER_MODE_USE_PROJECTILE_WEAPON_THIRD_PERSON,Метательное оружие (от третьего лица)
35,PLAYER_MODE_CHARGE_UP_WILL_SPELL,Зарядка заклинания воли
36,PLAYER_MODE_QUICK_ACCESS_MENU,Меню быстрого доступа
37,PLAYER_MODE_QUEST_COMPLETION_UI,Завершение задания
38,PLAYER_MODE_CREDITS_UI,Титры
39,PLAYER_MODE_BETTING,Ставки
40,PLAYER_MODE_LIGHTNING,Молния
41,PLAYER_MODE_ORACLE_MINIGAME,Мини-игра: Оракул
42,PLAYER_MODE_FIREHEART_MINIGAME,Мини-игра: Огненное сердце
43,PLAYER_MODE_LIVE_GUI,Интерфейс
44,PLAYER_MODE_CONSOLE,Консоль
45,PLAYER_MODE_TAKE_SCREENSHOT_FOR_PHOTOJOURNAL,Скриншот для фото-журнала
46,PLAYER_MODE_PC_PROJECTILE_WEAPON_THIRD_PERSON_AIMING,Прицеливание (ПК от третьего лица)
47,PLAYER_MODE_VIEW_HERO,Просмотр героя
